User ID,Transaction ID,Transaction Hash,Created At,Status,From Wallet Address,To Wallet Address,Token Name,Amount Normalized,Network,Direction
96e399ba-d781-49fd-a775-b4907f6b3a72,0xc9553323d761581e7d00ef436bd413d9a565f53276c35dcf6977c1662a227c81,0x7b33377003283bf00e2dd43003312a69a20b3111013fcdf9e23cd85c7799eb8b,2025-09-28T12:50:12.060,mined,0x0000000000000000000000000000000000000000,0xc3599317edf035c40e8cc689cee0cdf904034aa4,CASH,1,worldchain,received
96e399ba-d781-49fd-a775-b4907f6b3a72,0xbf10dcfbffa2a294268c7daf3656b467c77497316be3ae4b0e9b55fea94832be,0x7aede0a21f32ce719dd28b43730957aee2a421cc565d44fa93e1f5632da74569,2025-10-03T05:49:06.910,mined,0xd93f185c84e66771cafc885aaf43fa0d4ed27612,0xc3599317edf035c40e8cc689cee0cdf904034aa4,Ring,1,worldchain,received
96e399ba-d781-49fd-a775-b4907f6b3a72,0xafb64ce8a86a1363f346863dafb73853cf11ae6d147ca1cd642ce5b6baed8a41,0x60b6ea86e0bb580ec5e809bd0bf345e5e7271dc9b37fd68b10501bea58a95f9f,2025-08-19T09:06:43.165,mined,0x0000000000000000000000000000000000000000,0xc3599317edf035c40e8cc689cee0cdf904034aa4,Human Unique Bridge,10,worldchain,received
96e399ba-d781-49fd-a775-b4907f6b3a72,0x892e4f40478c3b9421034d7cbfe339186a813ac1241048305da0d91a70bc6bcd,0x1601d7bace85f3dd234d7f26dd5b9103b7caf3ac18e1ece8e0446f6799e7e133,2025-09-22T11:23:45.469,mined,0x0000000000000000000000000000000000000000,0xc3599317edf035c40e8cc689cee0cdf904034aa4,ORO,1,worldchain,received
96e399ba-d781-49fd-a775-b4907f6b3a72,0x0da138caa95f9fbdb40392da163e9cc12789acbeea2f33855252c53bcc68dea9,0x568b2b4b5bf735c34d180ae3ee9dde9ac4012d20afab779307e77f7500535343,2025-09-22T11:19:16.778,mined,0x0000000000000000000000000000000000000000,0xc3599317edf035c40e8cc689cee0cdf904034aa4,Baby Otter,1,worldchain,received
96e399ba-d781-49fd-a775-b4907f6b3a72,0x0916a3fbec7f7e211c9f44f6dafee7d9de05348e331413bd2cc090dfe304e841,0xaee5baafb2b625b061a90e2dbc59c9e7b845dd450450ed13115d6973a89bcf41,2025-09-11T08:57:34.436,mined,0x2ba918fec90ca7aac5753a2551593470815866e6,0xc3599317edf035c40e8cc689cee0cdf904034aa4,Diamante,0.12754,worldchain,received
96e399ba-d781-49fd-a775-b4907f6b3a72,0x4f4f4b76ae9eb6e09e001aa4957cafc07f22f8e5c57cc933dc797bfb8867def6,0x2e6a8d0f595fd2f4f80cdadff10aee7058264e611f9604ec1079d578048656c0,2025-10-01T09:07:30.180,mined,0xc3599317edf035c40e8cc689cee0cdf904034aa4,0x0000000000000000000000000000000000000000,Worldcoin,0.0001394129,worldchain,sent
96e399ba-d781-49fd-a775-b4907f6b3a72,0x38d8534b02315f40c70fc166172d64a548182da2b633c64e089d0f28387a3554,0x6797c40eb4f39f561b298bacb83c8005f98fb73f520163920e989964de5bfb33,2025-09-23T16:18:30.054,mined,0xede54d9c024ee80c85ec0a75ed2d8774c7fbac9b,0xc3599317edf035c40e8cc689cee0cdf904034aa4,Drachma,0.0310391204,worldchain,received
96e399ba-d781-49fd-a775-b4907f6b3a72,0x30636feb0e77dc0a93acfcbd78b3e6f92bb927a9ab3deb9e65b6dbee8421358a,0xa20b9db1596c4f5480b3e93e8bd5c81bdf9c216fa264f4dc391b33468240eff6,2025-10-01T12:43:10.864,mined,0x0000000000000000000000000000000000000000,0xc3599317edf035c40e8cc689cee0cdf904034aa4,Phobia,2,worldchain,received
96e399ba-d781-49fd-a775-b4907f6b3a72,0xdd5a8c0bca2d21f2828f1c5094cb8d4141f085a8c22a388aea5b588400cac478,0x3e629f36e54198239d5c30023d6ab2f634b8e6a27a991e6fc81f950ab2df4f0b,2025-09-29T17:06:13.665,mined,0x0000000000000000000000000000000000000000,0xc3599317edf035c40e8cc689cee0cdf904034aa4,Human Unique Bridge,1,worldchain,received
96e399ba-d781-49fd-a775-b4907f6b3a72,0xbc1290323630295c120ce456c8b619c4d4dd9356a94b04a4b386fe3c46f53221,0x05fbe7eb7cbf47abc41bc6cde6e19b8be61c6c9078c9dad6f8e0616ff4d6df9d,2025-09-29T17:29:04.887,mined,0xc3599317edf035c40e8cc689cee0cdf904034aa4,0xc3599317edf035c40e8cc689cee0cdf904034aa4,null,0,worldchain,received
96e399ba-d781-49fd-a775-b4907f6b3a72,442b5467-0cd3-4af3-b4cc-4325eb8f3fe9,0x65450af37cbbdac8cd5088071bddb52699123b0d52504aae80adce8f8f0814c7,2025-08-31T15:23:36.863,mined,0xc3599317edf035c40e8cc689cee0cdf904034aa4,0xe63c30c3254948c931678a6db00f0fb0515248ed,Worldcoin,17.122972,worldchain,sent
96e399ba-d781-49fd-a775-b4907f6b3a72,0x2a57fba6e808965a361857af985e36f1834424be0a3605af92f1a10005162fc5,0xe14e0e2391daa83bb21b4c2b02b6edbd4a472b3a994c792af0c5becacd89605c,2025-08-15T02:47:53.147,mined,0xc3599317edf035c40e8cc689cee0cdf904034aa4,0x0000000000001ff3684f28c67538d4d072c22734,Orb,1000,worldchain,sent
96e399ba-d781-49fd-a775-b4907f6b3a72,0xbbc9fa92ca5c28a3e887eff8d9b423772a6ce8e76be468ff1eecaff2764a6b94,0xc3b3995f79efdbf5d82989a6bed28459ff2206cebcc123897845e6e477362bfb,2025-09-24T16:53:43.703,mined,0x0000000000000000000000000000000000000000,0xc3599317edf035c40e8cc689cee0cdf904034aa4,Tapp Token,1.5625,worldchain,received
